"survived","pclass","sex","age","sibsp","parch","fare","embarked","class","who","adult_male","deck","embark_town","alive","alone"
"1","1","female","24","0","0","49.5042","C","First","woman","0","C","Cherbourg","yes","1"
"1","1","male","48","1","0","52","S","First","man","1","C","Southampton","yes","0"
"0","3","male","19","0","0","7.65","S","Third","man","1","F","Southampton","no","1"
"1","1","female","38","0","0","227.525","C","First","woman","0","C","Cherbourg","yes","1"
"1","2","female","27","0","0","10.5","S","Second","woman","0","E","Southampton","yes","1"
"1","1","male","27","1","0","53.1","S","First","man","1","E","Southampton","yes","0"
"1","1","female","29","0","0","211.337","S","First","woman","0","B","Southampton","yes","1"
"1","1","male","35","0","0","512.329","C","First","man","1","B","Cherbourg","yes","1"
"0","1","male","36","1","0","78.85","S","First","man","1","C","Southampton","no","0"
"0","1","male","19","1","0","53.1","S","First","man","1","D","Southampton","no","0"
"1","1","female","33","0","0","86.5","S","First","woman","0","B","Southampton","yes","1"
"1","1","female","51","1","0","77.9583","S","First","woman","0","D","Southampton","yes","0"
"0","2","female","57","0","0","10.5","S","Second","woman","0","E","Southampton","no","1"
"1","1","female","17","1","0","57","S","First","woman","0","B","Southampton","yes","0"
"0","1","male","29","0","0","30","S","First","man","1","D","Southampton","no","1"
"0","1","male","46","0","0","79.2","C","First","man","1","B","Cherbourg","no","1"
"1","1","female","49","0","0","25.9292","S","First","woman","0","D","Southampton","yes","1"
"0","1","male","39","0","0","0","S","First","man","1","A","Southampton","no","1"
"1","1","female","33","1","0","53.1","S","First","woman","0","E","Southampton","yes","0"
"1","1","male","51","0","0","26.55","S","First","man","1","E","Southampton","yes","1"
"1","1","female","48","0","0","25.9292","S","First","woman","0","D","Southampton","yes","1"
"0","1","male","31","0","0","50.4958","S","First","man","1","A","Southampton","no","1"
"0","1","male","33","0","0","5","S","First","man","1","B","Southampton","no","1"
"1","1","female","19","0","0","30","S","First","woman","0","B","Southampton","yes","1"
"1","1","male","26","0","0","30","C","First","man","1","C","Cherbourg","yes","1"
"1","3","female","4","1","1","16.7","S","Third","child","0","G","Southampton","yes","0"
"0","1","male","65","0","1","61.9792","C","First","man","1","B","Cherbourg","no","0"
"1","1","male","23","0","1","63.3583","C","First","man","1","D","Cherbourg","yes","0"
"0","1","male","21","0","1","77.2875","S","First","man","1","D","Southampton","no","0"
"0","1","male","24","0","1","247.521","C","First","man","1","B","Cherbourg","no","0"
"0","1","male","54","0","1","77.2875","S","First","man","1","D","Southampton","no","0"
"1","2","male","1","2","1","39","S","Second","child","0","F","Southampton","yes","0"
"1","2","male","3","1","1","26","S","Second","child","0","F","Southampton","yes","0"
"0","3","female","2","0","1","10.4625","S","Third","child","0","G","Southampton","no","0"
"1","1","male","37","1","1","52.5542","S","First","man","1","D","Southampton","yes","0"
"0","3","female","29","1","1","10.4625","S","Third","woman","0","G","Southampton","no","0"
"0","1","male","52","1","1","79.65","S","First","man","1","E","Southampton","no","0"
"1","1","female","58","0","1","153.462","S","First","woman","0","C","Southampton","yes","0"
"0","1","male","37","0","1","29.7","C","First","man","1","C","Cherbourg","no","0"
"1","1","female","50","0","1","247.521","C","First","woman","0","B","Cherbourg","yes","0"
"1","1","female","40","1","1","134.5","C","First","woman","0","E","Cherbourg","yes","0"
"1","1","female","16","0","1","57.9792","C","First","woman","0","B","Cherbourg","yes","0"
"0","1","male","38","0","1","153.462","S","First","man","1","C","Southampton","no","0"
"1","2","male","2","1","1","26","S","Second","child","0","F","Southampton","yes","0"
"1","1","female","22","0","1","55","S","First","woman","0","E","Southampton","yes","0"
"1","1","female","44","0","1","57.9792","C","First","woman","0","B","Cherbourg","yes","0"
"1","1","female","39","1","1","79.65","S","First","woman","0","E","Southampton","yes","0"
"1","1","female","39","1","1","110.883","C","First","woman","0","C","Cherbourg","yes","0"
"1","1","male","60","1","1","79.2","C","First","man","1","B","Cherbourg","yes","0"
"1","2","female","4","2","1","39","S","Second","child","0","F","Southampton","yes","0"
"1","1","male","36","0","1","512.329","C","First","man","1","B","Cherbourg","yes","0"
"1","1","female","15","0","1","211.337","S","First","child","0","B","Southampton","yes","0"
"0","1","male","49","1","1","110.883","C","First","man","1","C","Cherbourg","no","0"
"0","1","male","70","1","1","71","S","First","man","1","B","Southampton","no","0"
"1","3","male","6","0","1","12.475","S","Third","child","0","E","Southampton","yes","0"
"1","1","female","43","0","1","211.337","S","First","woman","0","B","Southampton","yes","0"
"1","1","female","52","1","1","93.5","S","First","woman","0","B","Southampton","yes","0"
"1","3","female","27","0","1","12.475","S","Third","woman","0","E","Southampton","yes","0"
"1","1","female","39","1","1","83.1583","C","First","woman","0","E","Cherbourg","yes","0"
"1","1","female","16","0","1","39.4","S","First","woman","0","D","Southampton","yes","0"
"1","1","female","47","1","1","52.5542","S","First","woman","0","D","Southampton","yes","0"
"1","1","female","56","0","1","83.1583","C","First","woman","0","C","Cherbourg","yes","0"
"0","1","male","19","3","2","263","S","First","man","1","C","Southampton","no","0"
"1","1","female","23","3","2","263","S","First","woman","0","C","Southampton","yes","0"
"1","1","female","19","0","2","26.2833","S","First","woman","0","D","Southampton","yes","0"
"0","2","male","36.5","0","2","26","S","Second","man","1","F","Southampton","no","0"
"0","1","female","2","1","2","151.55","S","First","child","0","C","Southampton","no","0"
"1","1","male","0.92","1","2","151.55","S","First","child","0","C","Southampton","yes","0"
"1","1","female","18","2","2","262.375","C","First","woman","0","B","Cherbourg","yes","0"
"1","1","female","31","0","2","164.867","S","First","woman","0","C","Southampton","yes","0"
"1","1","female","24","3","2","263","S","First","woman","0","C","Southampton","yes","0"
"0","1","male","27","0","2","211.5","C","First","man","1","C","Cherbourg","no","0"
"1","1","male","36","1","2","120","S","First","man","1","B","Southampton","yes","0"
"1","3","female","24","0","2","16.7","S","Third","woman","0","G","Southampton","yes","0"
"1","1","female","14","1","2","120","S","First","child","0","B","Southampton","yes","0"
"1","1","male","4","0","2","81.8583","S","First","child","0","A","Southampton","yes","0"
"0","1","female","25","1","2","151.55","S","First","woman","0","C","Southampton","no","0"
"1","1","female","22","0","2","49.5","C","First","woman","0","B","Cherbourg","yes","0"
"1","1","female","36","0","2","71","S","First","woman","0","B","Southampton","yes","0"
"1","1","male","17","0","2","110.883","C","First","man","1","C","Cherbourg","yes","0"
"1","1","female","18","0","2","79.65","S","First","woman","0","E","Southampton","yes","0"
"0","1","male","58","0","2","113.275","C","First","man","1","D","Cherbourg","no","0"
"1","1","female","21","2","2","262.375","C","First","woman","0","B","Cherbourg","yes","0"
"1","1","female","36","1","2","120","S","First","woman","0","B","Southampton","yes","0"
"1","1","male","11","1","2","120","S","First","child","0","B","Southampton","yes","0"
"0","1","male","64","1","4","263","S","First","man","1","C","Southampton","no","0"
